model_index,runtime (s),description,I_bound
0,0.982570,,True
1,0.776124,Stratify S and beta wrt. vaccination status.  Set beta values for strata.,True
2,1.325802,Stratify S_vac_T wrt. age group,True
3,1.954872,Stratify S_vac_F wrt. age group,True
4,1.634687,Abstract S age groups wrt. unvaccination status.,True
5,1.432351,Bounded(Stratify S and beta wrt. vaccination status.  Set beta values for strata.),False
6,2.386566,Bounded(Stratify S_vac_T wrt. age group),False
7,5.271834,Bounded(Stratify S_vac_F wrt. age group),False
8,3.366676,Bounded(Abstract S age groups wrt. unvaccination status.),False
9,2.486105,Bounded(Abstract S age groups wrt. vaccination status.),False
10,1.388009,Bounded(Abstract S and beta vaccination status.),False
